Nom;Latitude;Longitude
Point Wifi Place Pierre Semard;-2.2112785;47.2857581
Point Wifi Place de l'Amérique latine;-2.2051889;47.275968
Point wifi plage de Saint-Nazaire;-2.2059292;47.2712691
Point wifi Skate Park;-2.2216737;47.2675599
Point Wifi Front de mer Pêcheries;-2.2246295;47.2621795
Point wifi Plage de Villès Martin;-2.2267914;47.2578871
Point wifi Esplanade des droits de l'homme;-2.2129029;47.2773074
Point wifi Plage de M. Hulot;-2.2801673;47.2382103
Point wifi Plaine des sports;-2.2289747;47.2721336
